Subject age,Partner age,Subject race,Partner race,Interracial relationship,Hispanic origin of partner,Subject Hispanic origin,Subject gender,Partner gender,Attraction,Subject education,Partner education,Region,Subject's employment status,Earn more money?,Same high school?,Same college?,Grew up same city?,Living Together,Married at baseline,Quality of Relationship?,Same_Age_Bracket,match
11,21,WHITE,WHITE,0,1,1,0,1,1,1,1,8,1,1,2, ,2,1,1,2,0,1
41,51,WHITE,WHITE,0,1,1,0,1,1,1,1,3,1,1,1, ,2,1,0,2,0,1
31,41,BLACK,BLACK,0,1,2,0,1,1,1,1,8,1,4,2, ,2, ,0, ,0,1
11,21,WHITE,LATINO,1,2,4,1,0,1,1,1,9,1,3,2,2,2,1,0,2,0,1
11,51,WHITE,WHITE,0,1,1,0,1,1,1,1,9,1,3,1,2,1,1,1,1,0,1
31,51,WHITE,WHITE,0,1,1,0,0,5,1,1,7,5,1,2,2,2,2,0,1,0,1
21,31,BLACK,WHITE,1,1,2,1,0,2,1,1,9,1,3,2,2,2,1,1,2,0,1
61,61,WHITE,WHITE,0,1,1,1,0,1,1,1,8,5,2,2,2,2, ,0, ,1,1
21,31,LATINO,WHITE,1,1,4,0,1,1,1,1,7,1,1,2,2,2,1,1,1,0,1
21,71,NATIVE AMERICAN,WHITE,1,1,5,1,0,1,1,1,3,5,4,2,2,2,1,1,1,0,1
21,61,WHITE,WHITE,0,1,4,1,0,1,1,1,9,1,3,2, ,2,1,1,2,0,1
11,71,WHITE,WHITE,0,2,4,0,1,1,1,1,3,5,1,2, ,2,1,1,1,0,1
41,31,WHITE,WHITE,0,1,1,0,1,1,1,1,2,1,2,2,2,2,2,0,1,0,1
11,21,WHITE,WHITE,0,5,4,1,0,1,1,1,7,2,-1,2,1,2,2,0,1,0,1
61, ,WHITE,WHITE,0,5,1,0,1,1,1,1,7,5,1,2, ,2, ,0, ,0,1
11,41,WHITE,WHITE,0,1,1,1,0,1,1,1,5,7,3,2, ,2,1,1,2,0,1
11,41,BLACK,LATINO,1,2,2,0,1,1,1,1,7,5,2,2,2,2,1,1,1,0,1
11,31,WHITE,WHITE,0,1,1,0,1,1,1,1,5,1,1,2,2,2,1,1,1,0,1
0,21,WHITE,WHITE,0,1,1,0,1,1,1,1,5,1,3,2,2,2,1,1,2,0,1
21,51,WHITE,WHITE,0,1,1,1,1,3,1,1,1,2,1,2,2,2, ,0, ,0,1
11,61,WHITE,WHITE,0,1,1,0,1,1,1,1,9,1,3,1,1,1,1,1,1,0,1
61,21,WHITE,WHITE,0,1,1,0,0,4,1,1,7,1,1,2, ,2,2,0,2,0,1
11,51,WHITE,WHITE,0,1,1,1,0,1,1,1,4,1,3,2,2,2,1,1,1,0,1
31,31,WHITE,WHITE,0,1,1,0,1,1,1,1,5,1,1,2,2,2,1,1,1,1,1
21,41,WHITE,WHITE,0,1,1,0,1,1,1,1,6,1,1,2, ,2,1,1,1,0,1
21,21,ASIAN,ASIAN,0,1,3,0,0,5,1,1,9,1,1,2,2,2,2,0,2,1,1
31,21,WHITE,WHITE,0,1,1,1,1,5,1,1,8,3,3,2, ,2,2,0,1,0,1
11,10,LATINO,LATINO,0,3,4,0,1,1,1,1,2,4,2,1, ,1,2,0,2,0,1
11,71,WHITE,WHITE,0,1,1,0,1,1,1,1,5,5,1,1, ,1,1,1,1,0,1
21,41,BLACK,WHITE,1,1,2,0,0,5,1,1,7,1,3,2,2,2,1,1,1,0,1
51,41,LATINO,LATINO,0,3,4,1,0,1,1,1,2,1,1,2, ,2,1,0,2,0,1
21,51,WHITE,WHITE,0,1,1,0,1,3,1,1,1,1,3,2,2,2, ,0, ,0,1
51,71,WHITE,WHITE,0,1,1,1,0,1,1,1,8,5,3,2,2,2,1,0,1,0,1
11,41,WHITE,WHITE,0,1,1,0,1,1,1,1,5,1,2,2, ,1,1,1,1,0,1
11,21,WHITE,WHITE,0,1,1,1,0,2,1,1,3,1,3,2, ,2,1,1,1,0,1
21,21,WHITE,WHITE,0,1,1,1,0,1,1,1,5,6,1,2, ,1, ,0, ,1,1
21,41,WHITE,WHITE,0,1,1,1,0,1,1,1,6,2,3,2,2,2,1,1,1,0,1
21,41,WHITE,WHITE,0,1,1,1,0,2,1,1,3,1,1,2, ,1,1,0,2,0,1
41,41,WHITE,WHITE,0,5,1,0,1,1,1,1,5,1,3,2,2,2,1,0,2,1,1
21,51,WHITE,WHITE,0,1,1,0,1,1,1,1,9,1,1,2,2,2,1,1,2,0,1
21,21,WHITE,WHITE,0,1,1,1,0,3,1,1,8,1,3,2,2,2,2,0,2,1,1
11,71,WHITE,WHITE,0,1,1,1,0,1,1,1,8,5,3,2,2,2, ,0, ,0,1
21,51,WHITE,WHITE,0,1,1,0,0,5,1,1,3,1,1,2,1,1,1,1,1,0,1
31,71,WHITE,WHITE,0,1,1,1,0,1,1,1,1,2,-1,2,2,2, ,0, ,0,1
21,61,WHITE,WHITE,0,1,1,1,0,1,1,1,9,1,1,2, ,2,1,1,2,0,1
 , ,WHITE,WHITE,0,1,1,1,0,1,1,1,7,4,-1,-1, ,-1, ,0, ,1,1
21,41,WHITE,WHITE,0,1,1,1,1,5,1,1,6,1,1,2,2,1,1,1,1,0,1
31,31,WHITE,WHITE,0,1,4,1,1,4,1,1,5,1,3,2,2,2,1,0,1,1,1
11,31,WHITE,WHITE,0,1,1,1,0,1,1,1,7,3,3,2,2,2,1,1,2,0,1
11,61,WHITE,WHITE,0,1,1,1,0,1,1,1,2,2,3,2, ,2,1,1,1,0,1
11,21,WHITE,WHITE,0,1,1,1,0,2,1,1,4,1,3,1, ,1,1,1,1,0,1
11,61,WHITE,WHITE,0,1,1,1,0,1,1,1,9,5,3,1,2,2,1,1,1,0,1
21,31,WHITE,WHITE,0,1,1,1,0,1,1,1,4,7,3,2, ,2,1,1,1,0,1
11,31,ASIAN,LATINO,1,3,3,1,0,1,1,1,9,1,3,2, ,2,1,0,5,0,1
11,71,WHITE,WHITE,0,1,1,0,1,1,1,1,7,5,2,1, ,1,1,1,1,0,1
11,21,WHITE,WHITE,0,1,1,0,1,1,1,1,3,1,1,1, ,1, ,0, ,0,1
61,41,WHITE,WHITE,0,1,1,0,0,5,1,1,7,5,1,2,2,2,2,0,2,0,1
21,31,WHITE,WHITE,0,1,1,0,1,1,1,1,9,1,1,2,1,2,1,1,1,0,1
31,51,BLACK,BLACK,0,1,2,1,0,1,1,1,2,7,3,2,2,2,1,1,1,0,1
11, ,BLACK,LATINO,1,5,4,0,1, ,1,1,2,6,-1,2, ,2, ,0, ,0,1
11,61,WHITE,WHITE,0,1,1,1,0,1,1,1,5,6,3,1, ,1, ,0, ,0,1
21,-1,WHITE,WHITE,0,1,1,0,1,1,1,1,8,1,1,2,2,2,1,1,1,0,1
31,31,WHITE,WHITE,0,1,1,0,1,1,1,1,9,1,1,2, ,2,1,0,2,1,1
21,61,WHITE,WHITE,0,2,4,1,0,1,1,1,9,5,2,2, ,2, ,0, ,0,1
31,61,WHITE,WHITE,0,1,1,1,0,1,1,1,9,2,2,2,2,2, ,0, ,0,1
31,51,WHITE,WHITE,0,4,4,0,0,5,1,1,5,6,4,2,1,1,1,0,1,0,1
51,51,WHITE,WHITE,0,1,1,0,1,1,1,1,5,1,1,2,2,2,2,0,1,1,1
21,41,BLACK,BLACK,0,1,2,1,0,1,1,1,6,1,3,2, ,2,1,1,2,0,1
 ,41,WHITE,WHITE,0,1,1,1,0,1,1,1,5,1,1,1,2,1,1,1,1,0,1
21,41,WHITE,WHITE,0,2,4,0,1,1,1,1,3,1,1,2, ,2,1,1,2,0,1
11,51,BLACK,BLACK,0,1,2,0,1,1,1,1,9,6,3,1,1,1,1,1,1,0,1
11,51,BLACK,BLACK,0,1,2,1,0,1,1,1,5,7,3,1, ,1,1,1,1,0,1
21,51,WHITE,WHITE,0,1,1,1,0,1,1,1,4,1,3,2, ,2,1,1,2,0,1
21,41,ASIAN,ASIAN,0,1,3,1,0,1,1,1,9,7,3,2,1,2,1,1,1,0,1
21,61,WHITE,WHITE,0,1,1,1,0,1,1,1,7,6,3,2,2,2,1,1,2,0,1
11,41,WHITE,WHITE,0,1,1,1,0,1,1,1,5,5,3,2, ,2, ,0, ,0,1
21,41,WHITE,WHITE,0,1,1,0,0,5,1,1,9,1,3,2,2,2, ,0, ,0,1
21,71,WHITE,WHITE,0,1,1,0,1,5,1,1,2,5,4,2, ,2,1,1,2,0,1
41,51,WHITE,WHITE,0,1,1,0,1,1,1,1,1,1,3,2, ,2,1,0,1,0,1
21,31,WHITE,WHITE,0,1,1,1,0,2,1,1,2,1,1,1,2,1,1,1,2,0,1
31,51,BLACK,BLACK,0,1,2,1,0,1,1,1,2,4,3,2, ,2,2,0,2,0,1
31,31,WHITE,WHITE,0,1,1,0,1,1,1,1,7,1,1,2,2,2,1,0,1,1,1
41,61,BLACK,BLACK,0,1,2,0,1,1,1,1,7,5,1,2, ,2,1,1,1,0,1
21,71,LATINO,LATINO,0,2,4,1,0,1,1,1,8,1,3,2, ,1, ,0, ,0,1
41,41,WHITE,WHITE,0,2,4,0,0,5,1,1,9,1,1,2, ,2,2,1,2,1,1
21,51,WHITE,, ,2,1,1,0,1,1,1,8,7,3,2, ,1,1,1,2,0,1
11, ,BLACK,BLACK,0,1,2,0,1,1,1,1,3,4,2,1, ,1, ,0, ,0,1
21,31,WHITE,WHITE,0,1,1,1,0,1,1,1,5,1,1,2,2,2,2,0,1,0,1
21,71,WHITE,WHITE,0,1,1,1,0,1,1,1,9,1,2,2,2,2,1,1,2,0,1
31,31,BLACK,LATINO,1,1,5,1,0,1,1,1,5,6,1,1, ,2, ,0, ,1,1
61,71,WHITE,WHITE,0,1,1,0,1,1,1,1,8,5,1,2,2,2,2,0,1,0,1
21,51,WHITE,WHITE,0,1,1,1,0,1,1,1,5,6,3,1, ,2,1,1,1,0,1
21,61,WHITE,WHITE,0,1,1,0,1,1,1,1,4,1,3,2,2,2,1,1,1,0,1
21,71,WHITE,WHITE,0,1,1,0,1,1,1,1,3,4,3,2,2,2,1,1,3,0,1
11,31,BLACK,BLACK,0,3,2,0,0,5,1,1,2,1,1,2,2,1,1,0,2,0,1
31,31,WHITE,WHITE,0,1,1,0,1,2,1,1,3,6,4,2,2,2,1,0,1,1,1
41,51,WHITE,WHITE,0,1,1,0,1,1,1,1,3,5,3,2, ,2, ,0, ,0,1
11,61,WHITE,WHITE,0,1,1,1,0,1,1,1,5,1,3,2, ,2,1,1,2,0,1
11,71,ASIAN,ASIAN,0,1,3,0,1,1,1,1,9,2,4,2,1,1,1,1,1,0,1
11,61,WHITE,WHITE,0,1,1,0,1,1,1,1,5,5,2,1, ,2,1,1,1,0,1
21,31,NATIVE AMERICAN,ASIAN,1,1,5,0,0,5,1,1,9,1,2,2,2,2, ,0, ,0,1
0,41,WHITE,WHITE,0,1,1,1,0,1,1,1,5,6,3,2, ,2,1,1,1,0,1
41,51,WHITE,WHITE,0,1,1,1,0,1,1,1,5,1,1,2,2,2,1,1,1,0,1
21,51,WHITE,WHITE,0,1,1,1,0,1,1,1,3,5,2,2, ,2, ,0, ,0,1
0,31,WHITE,WHITE,0,1,1,1,1,5,1,1,3,1,1,2, ,2, ,0, ,0,1
11,31,WHITE,WHITE,0,1,1,0,1,1,1,1,2,1,1,2,1,2,1,1,1,0,1
21,71,WHITE,WHITE,0,1,1,1,0,1,1,1,8,5,4,1, ,1,1,1,1,0,1
31,61,BLACK,BLACK,0,1,2,1,0,1,1,1,5,1,3,2,2,2,2,1,4,0,1
11,71,WHITE,WHITE,0,1,1,1,0,1,1,1,2,5,4,2, ,2,1,1,1,0,1
 ,61,WHITE,WHITE,0,1,1,1,0,1,1,1,9,1,3,2, ,2, ,0, ,0,1
11,31,WHITE,WHITE,0,1,1,1,1,5,1,1,5,1,1,2, ,2, ,0, ,0,1
11,21,WHITE,WHITE,0,1,1,1,0,1,1,1,3,1,3,2,1,2,2,0,1,0,1
11,61,WHITE,WHITE,0,1,1,1,0,1,1,1,7,5,3,2,2,2,1,1,1,0,1
11,41,WHITE,WHITE,0,1,1,0,1,1,1,1,2,1,3,2, ,2,1,1,2,0,1
21,71,BLACK,BLACK,0,1,2,1,0,1,1,1,2,5,3,2, ,1, ,0, ,0,1
41,51,WHITE,WHITE,0,1,1,0,0,5,1,1,2,1,1,2, ,2, ,0, ,0,1
11,21,WHITE,WHITE,0,1,1,1,0,1,1,1,5,7,3,1, ,2,1,1,1,0,1
21,41,BLACK,BLACK,0,1,2,1,0,1,1,1,5,2,3,1, ,1,1,1,1,0,1
41,41,WHITE,WHITE,0,1,1,0,1,1,1,1,3,2,1,2, ,2,2,0,2,1,1
51,41,WHITE,WHITE,0,1,1,0,1,3,1,1,4,5,3,2,2,2, ,0, ,0,1
31,31,WHITE,WHITE,0,1,1,1,1,5,1,1,7,1,4,2,2,2,1,0,2,1,1
61,71,WHITE,WHITE,0,1,1,0,1,1,1,1,5,5,1,2,2,2, ,0, ,0,1
31,31,WHITE,WHITE,0,1,4,0,1,1,1,1,1,1,1,2, ,2,1,0,2,1,1
21,61,WHITE,WHITE,0,1,1,0,1,1,1,1,4,2,1,1, ,2,1,1,2,0,1
31,31,WHITE,WHITE,0,1,1,0,1,1,1,1,4,1,3,2,2,2,1,1,1,1,1
51,51,WHITE,WHITE,0,4,4,1,0,1,1,1,5,1,1,2, ,2,2,0,3,1,1
21,61,WHITE,WHITE,0,1,1,1,0,1,1,1,4,5,3,2, ,2,1,1,1,0,1
41,61,WHITE,WHITE,0,1,1,0,1,1,1,1,2,2,1,2,2,2,1,1,1,0,1
21,21,WHITE,WHITE,0,1,1,0,1,1,1,1,1,1,1,2, ,2,1,0,2,1,1
11,51,WHITE,WHITE,0,1,1,0,1,1,1,1,6,1,3,2,2,2,1,1,1,0,1
21,61,WHITE,WHITE,0,1,1,1,0,1,1,1,6,1,3,2, ,2,1,1,1,0,1
31,61,WHITE,WHITE,0,1,1,1,0,1,1,1,9,2,3,2, ,2,1,1,1,0,1
11,71,WHITE,WHITE,0,1,1,1,0,1,1,1,3,5,1,2, ,2,2,1,1,0,1
31,71,WHITE,WHITE,0,1,1,1,0,1,1,1,8,1,3,2,2,2, ,0, ,0,1
51,51,WHITE,WHITE,0,1,1,0,1,1,1,1,5,1,1,2,2,2,1,0,1,1,1
11,71,WHITE,WHITE,0,1,1,1,0,1,1,1,9,5,3,2,2,2,1,1,1,0,1
41,51,WHITE,WHITE,0,1,1,0,0,5,1,1,3,2,3,2,2,2, ,0, ,0,1
11,61,WHITE,WHITE,0,1,1,1,0,2,1,1,3,1,3,1, ,1,1,1,2,0,1
21,21,WHITE,ASIAN,1,1,1,0,0,4,1,1,7,4,1,2,2,2,1,1,1,1,1
11,41,ASIAN,ASIAN,0,1,3,0,1,1,1,1,5,1,1,2,1,2,1,1,2,0,1
21,41,WHITE,WHITE,0,2,4,1,0,1,1,1,7,1,3,2, ,2,1,1,3,0,1
11,51,WHITE,WHITE,0,1,1,1,0,1,1,1,2,1,3,2, ,2,1,1,2,0,1
41,61,WHITE,WHITE,0,1,4,1,1,5,1,1,9,1,3,2,2,2,1,1,1,0,1
0,51,WHITE,WHITE,0,1,1,0,0,5,1,1,2,1,3,2,1,2,1,1,3,0,1
31,21,WHITE,WHITE,0,5,1,0,0,4,1,1,8,1,2,2, ,2, ,0, ,0,1
31,41,BLACK,BLACK,0,1,2,0,1,1,1,1,7,2,2,2, ,2,1,1,1,0,1
11,61,WHITE,WHITE,0,1,1,1,0,1,1,1,2,5,4,2, ,1,1,1,2,0,1
11,31,LATINO,ASIAN,1,1,4,1,0,1,1,1,5,7,3,2,2,2,1,1,1,0,1
61,61,BLACK,BLACK,0,1,2,1,0,1,1,1,5,1,3,2, ,2, ,0, ,1,1
11,61,ASIAN,ASIAN,0,1,3,1,0,1,1,1,9,5,3,2, ,2, ,0, ,0,1
11,61,WHITE,WHITE,0,1,1,0,1,1,1,1,7,5,4,2,2,2,1,1,1,0,1
 , ,BLACK,WHITE,1,1,2,0,1,1,1,1,7,6,3,2, ,2, ,0, ,1,1
21,71,WHITE,WHITE,0,5,4,1,0,1,1,1,8,7,3,2, ,2,1,1,1,0,1
11,41,WHITE,WHITE,0,1,1,1,0,1,1,1,7,2,3,2, ,2,1,1,2,0,1
41,41,WHITE,WHITE,0,1,1,1,0,3,1,1,8,6,4,2,2,2,1,0,1,1,1
21,71,WHITE,WHITE,0,1,1,0,1,1,1,1,8,5,4,2,2,2,1,1,2,0,1
41,21,WHITE,WHITE,0,1,1,0,0,4,1,1,5,5,3,2, ,1,2,0,1,0,1
21,41,BLACK,BLACK,0,1,2,1,0,1,1,1,2,1,3,2, ,2,1,1,3,0,1
31,31,WHITE,WHITE,0,1,4,0,0,5,1,1,5,1,1,2,2,2,2,0,4,1,1
61,61,WHITE,ASIAN,1,1,1,0,1,2,1,1,9,2,3,2,2,2,1,0,2,1,1
41,71,WHITE,WHITE,0,1,1,0,0,4,1,1,5,1,3,2, ,2,1,0,2,0,1
21,31,WHITE,WHITE,0,2,4,1,0,1,1,1,7,1,1,2, ,2,1,1,2,0,1
21,21,WHITE,WHITE,0,1,1,1,0,1,1,1,8,1,1,2,2,2,2,0,1,1,1
21,61,WHITE,WHITE,0,1,1,1,0,1,1,1,6,5,2,2,2,2,1,1,1,0,1
21,51,WHITE,WHITE,0,1,1,0,1,1,1,1,2,1,1,2, ,2,1,1,1,0,1
21,41,WHITE,WHITE,0,1,1,0,1,3,1,1,1,1,1,2,2,2,1,0,3,0,1
21,51,WHITE,WHITE,0,1,1,0,1,1,1,1,4,1,1,2,1,2,1,1,2,0,1
31,51,WHITE,WHITE,0,1,1,0,0,5,1,1,9,1,3,2,2,2,1,0,2,0,1
31,51,BLACK,BLACK,0,1,2,1,0,1,1,1,3,5,2,2, ,1,1,1,2,0,1
21,31,LATINO,WHITE,1,2,4,0,1,1,1,1,8,1,1,1,2,2,1,0,1,0,1
11,31,WHITE,WHITE,0,1,1,0,1,1,1,1,6,4,2,1, ,1,1,1,1,0,1
11,31,WHITE,WHITE,0,1,1,0,1,1,1,1,5,1,1,2,2,2,1,1,1,0,1
21,71,BLACK,BLACK,0,1,2,0,1,1,1,1,9,5,4,2, ,2,1,1,1,0,1
21,21,WHITE,ASIAN,1,1,1,0,1,1,1,1,9,1,2,2,2,2,1,0,1,1,1
11,41,WHITE,WHITE,0,1,1,0,1,1,1,1,8,1,1,1, ,1,1,1,1,0,1
21,21,BLACK,BLACK,0,5,2,0,1,1,1,1,5,1,1,2, ,2,1,0,2,1,1
41,61,WHITE,WHITE,0,1,1,1,0,1,1,1,3,5,3,2, ,1,1,1,3,0,1
11,51,WHITE,WHITE,0,1,1,0,1,1,1,1,3,1,3,1,2,1,1,1,1,0,1
61,71,WHITE,WHITE,0,1,1,0,1,1,1,1,8,2,3,2,2,2,1,0,1,0,1
11,51,WHITE,WHITE,0,1,1,0,1,1,1,1,5,5,3,1, ,1,1,1,1,0,1
11,10,WHITE,WHITE,0,1,1,0,1,1,1,1,5,1,2,2, ,2, ,0, ,0,1
21,31,LATINO,BLACK,1,1,4,1,0,1,1,1,9,1,3,1, ,1,1,0,2,0,1
21,51,WHITE,WHITE,0,1,1,0,1,1,1,1,3,1,1,1,1,2,1,1,2,0,1
11,51,WHITE,WHITE,0,1,1,1,0,1,1,1,5,1,3,2,1,2,1,1,1,0,1
41,51,WHITE,NATIVE AMERICAN,1,1,1,0,0,4,1,1,9,1,1,2, ,2, ,0, ,0,1
31,61,WHITE,WHITE,0,1,1,0,1,1,1,1,6,1,1,1, ,1,1,1,2,0,1
21,61,WHITE,WHITE,0,1,1,1,0,1,1,1,1,5,3,2,2,2,1,1,2,0,1
21,61,WHITE,WHITE,0,1,1,1,0,1,1,1,3,7,3,2, ,2, ,0, ,0,1
31,61,WHITE,WHITE,0,1,1,0,1,1,1,1,2,5,1,2, ,2, ,0, ,0,1
21,61,ASIAN,WHITE,1,2,4,1,0,1,1,1,9,5,3,2,1,2,1,1,3,0,1
31,71,WHITE,WHITE,0,4,4,1,0,1,1,1,5,1,2,2, ,2,1,1,1,0,1
21,51,WHITE,WHITE,0,1,1,0,1,1,1,1,1,2,1,2, ,2, ,0, ,0,1
11,51,WHITE,WHITE,0,1,1,0,1,1,1,1,5,4,3,2,1,2,1,1,1,0,1
51, ,BLACK,BLACK,0,1,2,1,1,3,1,1,5,6,2,2, ,2, ,0, ,0,1
21,31,WHITE,WHITE,0,1,1,1,0,2,1,1,2,6,3,2, ,2,1,1,2,0,1
11,21,WHITE,WHITE,0,1,1,1,0,1,1,1,4,1,2,1,2,1,1,1,1,0,1
21,31,BLACK,BLACK,0,1,2,1,0,1,1,1,4,1,1,2,2,1, ,0, ,0,1
11,61,WHITE,WHITE,0,1,1,0,1,1,1,1,4,5,2,2, ,2,1,1,2,0,1
11,31,WHITE,WHITE,0,1,1,0,1,1,1,1,4,1,3,1,2,1,1,1,1,0,1
21,71,WHITE,WHITE,0,1,1,1,0,1,1,1,3,5,4,2, ,1,1,1,1,0,1
21,51,WHITE,WHITE,0,5,4,0,1,1,1,1,2,1,2,2,2,2,1,1,1,0,1
31,51,WHITE,WHITE,0,1,1,0,1,1,1,1,3,2,1,1, ,1,1,1,1,0,1
11,51,WHITE,WHITE,0,1,1,0,1,1,1,1,7,1,1,1,2,2,1,1,1,0,1
31,51,BLACK,BLACK,0,1,2,1,0,1,1,1,2,1,2,2, ,2, ,0, ,0,1
21,41,ASIAN,WHITE,1,1,3,0,0,5,1,1,9,1,1,2,2,2,1,1,1,0,1
21,41,WHITE,WHITE,0,1,1,0,1,1,1,1,6,1,3,1,1,1,1,1,1,0,1
11,41,ASIAN,ASIAN,0,1,3,0,1,1,1,1,9,1,1,2,1,1,2,0,1,0,1
31,61,WHITE,WHITE,0,3,4,0,1,1,1,1,5,5,1,2, ,2,1,1,2,0,1
21,31,ASIAN,WHITE,1,1,3,1,0,1,1,1,4,1,3,2,2,1,1,1,2,0,1
21,10,BLACK,BLACK,0,1,2,0,1,1,1,1,2,1,3,2,2,2,2,0,2,0,1
21,41,ASIAN,ASIAN,0,1,3,1,0,1,1,1,1,1,3,2,2,2,1,1,2,0,1
11,31,WHITE,WHITE,0,1,1,1,0,1,1,1,2,7,4,1, ,2,1,1,2,0,1
11,61,WHITE,WHITE,0,2,4,0,1,1,1,1,7,5,4,2, ,1,1,1,1,0,1
21,31,WHITE,WHITE,0,1,1,1,0,1,1,1,4,1,3,2, ,2,1,1,1,0,1
41,41,BLACK,BLACK,0,1,2,1,0,1,1,1,5,1,3,2,1,2,2,0,2,1,1
21,61,WHITE,WHITE,0,1,1,1,0,1,1,1,5,2,3,2, ,2,1,1,3,0,1
21,31,WHITE,WHITE,0,1,1,0,1,1,1,1,6,7,1,1, ,1,1,1,1,0,1
41,51,WHITE,WHITE,0,1,1,0,1,1,1,1,7,1,3,1, ,1,1,0,3,0,1
21,61,WHITE,WHITE,0,1,4,0,1,1,1,1,7,7,3,2, ,2,1,1,2,0,1
31,21,WHITE,WHITE,0,1,1,0,1,1,1,1,2,1,1,2, ,2,1,0,2,0,1
21,61,WHITE,WHITE,0,1,1,0,1,1,1,1,1,4,3,1,2,1,1,1,2,0,1
31,71,WHITE,WHITE,0,1,1,1,0,1,1,1,9,5,2,2, ,2,1,1,1,0,1
11,51,BLACK,BLACK,0,1,2,0,1,1,1,1,4,1,1,1, ,1,1,0,2,0,1
41,41,BLACK,BLACK,0,1,2,1,0,1,1,1,6,1,3,2, ,2,2,0,3,1,1
11,21,WHITE,WHITE,0,1,1,1,0,1,1,1,5,1,1,1,2,1,1,1,3,0,1
11,61,WHITE,WHITE,0,1,1,0,1,1,1,1,3,2,2,2,1,2,1,1,1,0,1
11,31,LATINO,BLACK,1,1,4,1,0,1,1,1,9,7,3,2,2,2,1,1,1,0,1
11,61,WHITE,WHITE,0,1,1,1,0,1,1,1,6,1,3,2,2,2,1,1,2,0,1
31,41,ASIAN,WHITE,1,1,3,0,0,5,1,1,9,1,3,2,2,2,2,0,1,0,1
11,71,WHITE,WHITE,0,1,1,1,0,1,1,1,5,5,3,2, ,2,1,1,1,0,1
11,21,WHITE,WHITE,0,1,1,0,1,1,1,1,4,6,2,1, ,2,2,0,1,0,1
11,61,WHITE,WHITE,0,1,1,0,1,1,1,1,5,5,1,1, ,2,1,1,1,0,1
31,61,WHITE,WHITE,0,1,1,0,1,1,1,1,7,5,3,2,2,2,1,1,1,0,1
21,31,WHITE,WHITE,0,1,4,0,1,1,1,1,4,1,2,2, ,2,1,1,2,0,1
51,41,WHITE,ASIAN,1,1,1,0,1,1,1,1,2,1,1,2,2,2,1,1,2,0,1
11,31,BLACK,BLACK,0,1,2,1,0,1,1,1,5,1,1,1, ,2,1,0,3,0,1
11,10,WHITE,WHITE,0,1,1,0,1,1,1,1,4,1,2,1, ,1,2,0,2,0,1
21,21,,BLACK, ,1,4,1,1,1,1,1,3,1,1,2,2,2,2,0,2,1,1
11,71,WHITE,WHITE,0,1,1,1,0,1,1,1,4,5,3,1, ,1,1,1,1,0,1
11,41,WHITE,, ,2,4,1,0,1,1,1,9,7,3,1, ,2,1,1,2,0,1
21,41,WHITE,WHITE,0,1,1,1,0,1,1,1,3,1,3,2,2,2,1,1,1,0,1
21,21,BLACK,BLACK,0,1,2,0,1,1,1,1,1,4,2,2, ,1, ,0, ,1,1
21,31,WHITE,ASIAN,1,1,1,0,0,5,1,1,9,1,1,2,2,2,1,0,1,0,1
11,51,WHITE,WHITE,0,1,1,1,0,1,1,1,3,1,3,2, ,1,1,1,1,0,1
11,61,BLACK,BLACK,0,1,2,0,1,1,1,1,5,5,3,1, ,1,1,1,1,0,1
11,61,WHITE,WHITE,0,1,1,0,1,1,1,1,5,2,2,2, ,2,1,1,1,0,1
31,21,WHITE,WHITE,0,1,1,1,0,2,1,1,1,6,3,2, ,2,2,0,2,0,1
21,21,WHITE,WHITE,0,1,4,0,1,1,1,1,8,1,3,2,2,2,2,0,1,1,1
21,31,WHITE,WHITE,0,1,1,0,1,1,1,1,9,1,2,2, ,2,1,1,1,0,1
51,31,WHITE,WHITE,0,1,1,0,1,1,1,1,5,5,2,2, ,2, ,0, ,0,1
11,31,BLACK,BLACK,0,1,2,0,1,2,1,1,5,4,1,2, ,2,1,1,3,0,1
 ,31,WHITE,WHITE,0,5,4,1,0,1,1,1,9,7,3,2, ,2,2,0,1,0,1
21,51,WHITE,WHITE,0,1,4,0,1,1,1,1,2,7,1,2, ,2, ,0, ,0,1
21,51,WHITE,WHITE,0,1,1,0,1,1,1,1,6,1,1,2,2,2,1,1,1,0,1
21,61,WHITE,WHITE,0,1,1,1,0,1,1,1,3,7,3,2, ,2,1,1,2,0,1
31,51,WHITE,WHITE,0,1,1,0,1,1,1,1,6,1,1,2,2,2,1,1,2,0,1
41,41,BLACK,BLACK,0,1,2,1,0,2,1,1,5,6,1,2, ,1,2,1,1,1,1
41,71,WHITE,WHITE,0,1,1,1,0,1,1,1,9,5,2,2, ,2, ,0, ,0,1
21,41,LATINO,LATINO,0,2,4,1,0,1,1,1,7,1,2,2,2,2,2,0,1,0,1
21,61,WHITE,WHITE,0,1,1,0,1,1,1,1,3,5,1,2, ,1,1,1,1,0,1
11,71,BLACK,BLACK,0,1,2,1,0,1,1,1,5,5,4,2,2,2,1,1,2,0,1
21,21,WHITE,LATINO,1,1,4,1,0,1,1,1,2,1,3,2, ,2,2,0,3,1,1
21,31,BLACK,NATIVE AMERICAN,1,1,2,1,0,2,1,1,2,1,1,2, ,2,1,0,3,0,1
11,51,WHITE,WHITE,0,1,1,0,1,1,1,1,5,1,1,2,1,2,1,1,1,0,1
51,51,BLACK,BLACK,0,1,2,0,1,1,1,1,5,2,1,2,2,2,2,0,2,1,1
